         201548903 function calls (201542178 primitive calls) in 332.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
     1080    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      120    0.000    0.000    0.001    0.000 pyparsing.py:2368(__init__)
     19/4    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
       25    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.087    0.087 requirements.py:4(<module>)
       26    0.000    0.000    0.004    0.000 traceback.py:200(extract_stack)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.008    0.008 socket.py:47(<module>)
       87    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      146    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
      362    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
        1    0.000    0.000    0.004    0.004 markers.py:4(<module>)
      609    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       25    0.000    0.000    0.005    0.000 pyparsing.py:1250(setParseAction)
      309    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      307    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       48    0.000    0.000    0.002    0.000 pyparsing.py:3540(__init__)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
      622    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      279    0.000    0.000    0.000    0.000 __init__.py:921(_added_new)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
      104    0.000    0.000    0.002    0.000 traceback.py:282(line)
      134    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      308    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      310    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      197    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       88    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
    35/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       96    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        8    0.000    0.000    0.006    0.001 enum.py:389(_create_)
    68/58    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.051    0.051 __init__.py:13(<module>)
      526    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      278    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
      176    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
       26    0.000    0.000    0.004    0.000 pyparsing.py:1047(extract_stack)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.016    0.008 shape_base.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       21    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.007    0.007 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2561(Distribution)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
      124    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       88    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.008    0.008 linalg.py:10(<module>)
     10/9    0.000    0.000    0.001    0.000 posixpath.py:400(_joinrealpath)
      580    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       48    0.000    0.000    0.002    0.000 pyparsing.py:1948(__or__)
        1    0.000    0.000    0.311    0.311 __init__.py:3250(_initialize_master_working_set)
